Start Time,Period (min),NE Name,DGW function,User Plane L7 parser DNS downlink packets (number),User Plane L7 parser DNS uplink packets (number),User Plane L7 parser downlink packets (number),User Plane L34 parser uplink packets (number),User Plane L7 parser uplink packets (number),User Plane L34 parser downlink packets (number),Date,Time
2023-09-06 08:00:00,30,UPPNB04,nodeName=dgw,62700870,65885931,10055480374,17779730,4775420372,49163979,2023-09-06,08:00:00
2023-09-06 08:00:00,30,UPPNB06,nodeName=dgw,145214847,152716412,23338250965,44542604,11060790066,121880508,2023-09-06,08:00:00
2023-09-06 08:30:00,30,UPCBT03,nodeName=dgw,107519196,120124551,14753232318,72771253,6460979090,129048554,2023-09-06,08:30:00
2023-09-06 08:30:00,30,UPPLB02,nodeName=dgw,124366424,130395521,18594004179,47462583,8307007619,129656049,2023-09-06,08:30:00
2023-09-06 08:30:00,30,UPBNB02,nodeName=dgw,138821874,145678050,17460215405,120236591,7914639097,220198465,2023-09-06,08:30:00
2023-09-06 08:30:00,30,UPPNB04,nodeName=dgw,65584158,68824428,10648989128,19608597,5069119546,54422540,2023-09-06,08:30:00
2023-09-06 08:30:00,30,UPPNB06,nodeName=dgw,152515022,160228435,24709254462,47713167,11756509063,128935496,2023-09-06,08:30:00
2023-09-06 09:00:00,30,UPCBT03,nodeName=dgw,109654180,122942530,15197027645,74520343,6699461844,133945417,2023-09-06,09:00:00
2023-09-06 09:00:00,30,UPPLB02,nodeName=dgw,125199379,131275645,19273223317,49979686,8682812829,144147168,2023-09-06,09:00:00
2023-09-06 09:00:00,30,UPBNB02,nodeName=dgw,139980362,146861422,18046430603,127168647,8237593820,241149827,2023-09-06,09:00:00
2023-09-06 09:00:00,30,UPPNB04,nodeName=dgw,66214590,69600790,11073934220,21118756,5265980848,59757815,2023-09-06,09:00:00
2023-09-06 09:00:00,30,UPPNB06,nodeName=dgw,152487231,160148614,25564276666,50519245,12150578238,137699138,2023-09-06,09:00:00
2023-09-06 09:30:00,30,UPCBT03,nodeName=dgw,108107293,120882284,15798754701,79190145,6922668849,138845695,2023-09-06,09:30:00
2023-09-06 09:30:00,30,UPPLB02,nodeName=dgw,124240768,130339502,20102241647,54570622,8986897779,163757465,2023-09-06,09:30:00
2023-09-06 09:30:00,30,UPBNB02,nodeName=dgw,138838853,145533258,18770646628,135538520,8527964930,262900991,2023-09-06,09:30:00
2023-09-06 09:30:00,30,UPPNB04,nodeName=dgw,65932158,69293677,11537712030,22118878,5454931504,61484539,2023-09-06,09:30:00
2023-09-06 09:30:00,30,UPPNB06,nodeName=dgw,151230014,159108285,26516711078,54343510,12564186449,147459531,2023-09-06,09:30:00
2023-09-06 10:00:00,30,UPCBT03,nodeName=dgw,119323229,135738975,16602002461,87867284,7372558362,156091868,2023-09-06,10:00:00
2023-09-06 10:00:00,30,UPPLB02,nodeName=dgw,135462600,141841540,21155724799,57905037,9498537004,158697447,2023-09-06,10:00:00
2023-09-06 10:00:00,30,UPBNB02,nodeName=dgw,151876078,158906454,19677829289,140932028,9014777227,266148776,2023-09-06,10:00:00
2023-09-06 10:00:00,30,UPPNB04,nodeName=dgw,71202980,74659395,11954628789,26389901,5693459981,69972788,2023-09-06,10:00:00
2023-09-06 10:00:00,30,UPPNB06,nodeName=dgw,163442452,171328517,27623035124,55796814,13154498451,153928642,2023-09-06,10:00:00
2023-09-06 10:30:00,30,UPCBT03,nodeName=dgw,113719645,127563650,16826923610,88025119,7392363740,153051010,2023-09-06,10:30:00
2023-09-06 10:30:00,30,UPPLB02,nodeName=dgw,129566999,135726544,21869454163,60430669,9685751782,162186855,2023-09-06,10:30:00
2023-09-06 10:30:00,30,UPBNB02,nodeName=dgw,144059997,151196057,19958587979,144532087,9039313289,279205371,2023-09-06,10:30:00
2023-09-06 10:30:00,30,UPPNB04,nodeName=dgw,68406798,71778104,12214207443,25743268,5759399907,71388812,2023-09-06,10:30:00
2023-09-06 10:30:00,30,UPPNB06,nodeName=dgw,156784279,164418602,28170371810,58901193,13310087504,163372843,2023-09-06,10:30:00
2023-09-06 11:00:00,30,UPCBT03,nodeName=dgw,116081841,131051604,17275545239,87219879,7589476257,155848642,2023-09-06,11:00:00
2023-09-06 11:00:00,30,UPPLB02,nodeName=dgw,133704876,140161464,22551469354,63528050,9995061833,172278175,2023-09-06,11:00:00
2023-09-06 11:00:00,30,UPBNB02,nodeName=dgw,147309407,154474558,20393094719,151307416,9240469065,282737157,2023-09-06,11:00:00
2023-09-06 11:00:00,30,UPPNB04,nodeName=dgw,70186927,73576682,12509894427,27219921,5905196589,78778514,2023-09-06,11:00:00
2023-09-06 11:00:00,30,UPPNB06,nodeName=dgw,160510301,168279171,28807460201,62220856,13576301887,175404338,2023-09-06,11:00:00
2023-09-06 11:30:00,30,UPCBT03,nodeName=dgw,119048244,135120854,18048782775,92575105,7939482603,164964632,2023-09-06,11:30:00
2023-09-06 11:30:00,30,UPPLB02,nodeName=dgw,136823784,143288371,23401921408,65912313,10363924784,181746125,2023-09-06,11:30:00
2023-09-06 11:30:00,30,UPBNB02,nodeName=dgw,151666159,158723682,21158191553,155266487,9597994376,302056788,2023-09-06,11:30:00
2023-09-06 11:30:00,30,UPPNB06,nodeName=dgw,164565713,172505950,29971094495,65943774,14104474594,180911651,2023-09-06,11:30:00
2023-09-06 11:30:00,30,UPPNB04,nodeName=dgw,71829000,75362890,13074656846,28459230,6154722843,81943893,2023-09-06,11:30:00
2023-09-06 12:00:00,30,UPPLB02,nodeName=dgw,150064155,157007577,24283427897,69275650,10926786039,184947738,2023-09-06,12:00:00
2023-09-06 12:00:00,30,UPBNB02,nodeName=dgw,168541090,176058283,22271367253,165884361,10273598711,321586574,2023-09-06,12:00:00
2023-09-06 12:00:00,30,UPPNB04,nodeName=dgw,78521889,82108120,13591089763,30600490,6462011248,84834746,2023-09-06,12:00:00
2023-09-06 12:00:00,30,UPPNB06,nodeName=dgw,179851868,188179649,31187676726,71253280,14779251787,196475684,2023-09-06,12:00:00
2023-09-06 12:00:00,30,UPCBT03,nodeName=dgw,128976404,147565845,19190614387,100017928,8577159144,177052254,2023-09-06,12:00:00
2023-09-06 12:30:00,30,UPCBT03,nodeName=dgw,129815884,146872173,19957734520,101703077,8834036137,190161605,2023-09-06,12:30:00
2023-09-06 12:30:00,30,UPPLB02,nodeName=dgw,152536052,159853704,25544235879,79497775,11465503461,210958260,2023-09-06,12:30:00
2023-09-06 12:30:00,30,UPBNB02,nodeName=dgw,169484606,177235952,23332802497,172363284,10730606517,327020238,2023-09-06,12:30:00
2023-09-06 12:30:00,30,UPPNB04,nodeName=dgw,79138232,82787380,14113928793,33260818,6679681067,95292100,2023-09-06,12:30:00
2023-09-06 12:30:00,30,UPPNB06,nodeName=dgw,181329856,189980669,32335155768,70923378,15314262710,205283218,2023-09-06,12:30:00
2023-09-06 13:00:00,30,UPCBT03,nodeName=dgw,119668613,135602223,18636142674,95873507,8196029855,185223049,2023-09-06,13:00:00
2023-09-06 13:00:00,30,UPPLB02,nodeName=dgw,150583494,157982988,25349380352,82189169,11371035108,222154862,2023-09-06,13:00:00
2023-09-06 13:00:00,30,UPBNB02,nodeName=dgw,161249229,168646997,22338979066,164697328,10228427184,321411456,2023-09-06,13:00:00
2023-09-06 13:00:00,30,UPPNB04,nodeName=dgw,79406318,83206796,14262454607,35404369,6792586313,100666248,2023-09-06,13:00:00
2023-09-06 13:00:00,30,UPPNB06,nodeName=dgw,182177848,191118344,32714643340,77343281,15580506748,220282816,2023-09-06,13:00:00
2023-09-06 13:30:00,30,UPCBT03,nodeName=dgw,113439396,127791285,18369892515,96519576,8026003503,186830024,2023-09-06,13:30:00
2023-09-06 13:30:00,30,UPPLB02,nodeName=dgw,145837937,152964281,25423893726,83230199,11395073028,226441278,2023-09-06,13:30:00
2023-09-06 13:30:00,30,UPBNB02,nodeName=dgw,155033781,162231143,22261091075,168955000,10133517525,326170780,2023-09-06,13:30:00
2023-09-06 13:30:00,30,UPPNB04,nodeName=dgw,77340412,81095165,14409470129,37836065,6861622805,105244302,2023-09-06,13:30:00
2023-09-06 13:30:00,30,UPPNB06,nodeName=dgw,177720220,186619014,33061736455,82797872,15770779869,231419556,2023-09-06,13:30:00
2023-09-06 14:00:00,30,UPCBT03,nodeName=dgw,116684682,132181226,18575310841,96195157,8142649969,177342156,2023-09-06,14:00:00
2023-09-06 14:00:00,30,UPPLB02,nodeName=dgw,148958845,156090943,25577946876,84000050,11516197951,225771496,2023-09-06,14:00:00
2023-09-06 14:00:00,30,UPBNB02,nodeName=dgw,158708301,166204336,22572021927,168509563,10297045799,333785728,2023-09-06,14:00:00
2023-09-06 14:00:00,30,UPPNB04,nodeName=dgw,79297682,83263032,14567359211,38777575,6972460575,108351070,2023-09-06,14:00:00
