"Result  :  ExportPerformanceQueryResult_ABCF CPU_20231025_112452"
"Save Time: 10/25/2023 11:24:54"

"User Name:ca_usr"

"NE Type:CloudSE2980"

"NE Names:DPS_ASBC01;DPS_ASBC03;DPS_ASBC02"

"FunctionSubset Name:Module CPU Measurement"

"Total 3,396    Records"

"Start Time","Period(min)","NE Name","Module CPU","Average Module CPU Usage (%)","Current Module CPU Usage (%)","Peak Module CPU Usage (%)"
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=458",1.083,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=441",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1018",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=424",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1001",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=407",1.417,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1",6.167,7,10
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=455",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=438",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1015",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=421",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=404",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=472",1.333,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=452",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=435",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1012",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=418",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=401",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=469",1.25,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=432",1.5,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1009",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=415",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=254",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=466",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=449",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=152",22,22,37
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=429",1.5,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1006",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=412",1.417,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=251",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=463",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=446",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=409",1.083,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=901",0,1,1
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=460",1.167,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=952",0,0,0
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=443",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1020",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=426",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1003",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=457",1.083,2,3
